COMMUNITY,HCIDLA FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,JOBS,POPULATION,SQUAREMILE,HP,LP,TAXP,TDCP,HS,LS,TAXS,TDCS
Adams-Normandie,3225000,24532619,4641342,32398961,99,18504,0.81,174.2866407,1325.800854,250.829118,1750.916613,3981481.481,30287183.95,5730051.852,39998717.28
Alsace,0,6771719,10247566,17019285,0,22857,1.48,0,296.2645579,448.3338146,744.5983725,0,4575485.811,6924031.081,11499516.89
Angelino Heights,1647000,8292373,0,9939373,63,43832,2.4,37.57528746,189.1853669,0,226.7606543,686250,3455155.417,0,4141405.417
Arlington Heights,4925829,13299964,0,18225793,59,23330,1.03,211.1371196,570.0798971,0,781.2170167,4782358.252,12912586.41,0,17694944.66
Atwater Village,15282629,23669584,0,38952213,277,15455,1.78,988.8469104,1531.516273,0,2520.363183,8585746.629,13297519.1,0,21883265.73
Boyle Heights,31076886,115181288,759870,147018044,1318,99243,6.52,313.1393247,1160.598611,7.656660923,1481.394597,4766393.558,17665841.72,116544.4785,22548779.75
Broadway-Manchester,2055350,7237394,0,9292744,83,25797,1.56,79.6739931,280.5517696,0,360.2257627,1317532.051,4639355.128,0,5956887.179
Canoga Park,23563000,39728219,7603714,70894933,477,60578,4.35,388.9695929,655.8192578,125.5193965,1170.308247,5416781.609,9132923.908,1747980.23,16297685.75
Central-Alameda,9091810,61875798,25060225,96027833,419,43638,2.18,208.3461662,1417.933865,574.2752876,2200.555319,4170555.046,28383393.58,11495516.06,44049464.68
Chatsworth,1931627,9229203,0,11160830,77,37102,15.24,52.06261118,248.7521697,0,300.8147809,126747.1785,605590.748,0,732337.9265
Chinatown,25127111,92892002,3810000,121829113,1499,28839,0.91,871.2892611,3221.054891,132.112764,4224.456916,27612209.89,102079123.1,4186813.187,133878146.2
Del Rey,9389134,28060445,0,37449579,213,32976,2.45,284.7262858,850.9353772,0,1135.661663,3832299.592,11453242.86,0,15285542.45
Downtown,77330250,415239593,103996000,596565843,4661,34811,5.84,2221.431444,11928.40174,2987.446497,17137.27968,13241481.16,71102670.03,17807534.25,102151685.4
E. Hollywood,3132000,49307507,39061698,91501205,180,78192,2.38,40.05524862,630.5952911,499.5613106,1170.21185,1315966.387,20717439.92,16412478.15,38445884.45
East Hollywood,30529257,153621027,11933466,196083750,812,78192,2.38,390.4396486,1964.66425,152.61748,2507.721378,12827418.91,64546650,5014061.345,82388130.25
Echo Park,9147918,39011606,6227000,54386524,296,43832,2.4,208.7040975,890.025689,142.0651579,1240.794944,3811632.5,16254835.83,2594583.333,22661051.67
El Sereno,1769655,11345458,0,13115113,97,43766,4.17,40.43446968,259.2299502,0,299.6644199,424377.6978,2720733.333,0,3145111.031
Elysian Valley,6199789,19630043,10287000,36116832,205,7781,0.79,796.7856317,2522.817504,1322.066572,4641.669708,7847834.177,24848155.7,13021518.99,45717508.86
Exposition Park,13418300,112352951,42067556,167838807,453,33458,1.85,401.0490765,3358.0295,1257.324287,5016.402863,7253135.135,60731324.86,22739219.46,90723679.46
Florence-Firestone,2444000,40832339,29739186,73015525,92,60154,3.58,40.6290521,678.7967384,494.3841806,1213.809971,682681.5642,11405681.28,8307035.196,20395398.04
Glassell Park,11379687,50470336,10562729,72412752,443,24816,2.75,458.5625,2033.782076,425.6418843,2917.98646,4138068,18352849.45,3840992.364,26331909.82
Gramercy Park,2000000,31674331,0,33674331,208,11173,1.13,179.0029535,2834.8994,0,3013.902354,1769911.504,28030381.42,0,29800292.92
Green Meadows,6001178,75958127,33415646,115374951,242,30558,2.22,196.3864782,2485.703482,1093.515479,3775.605439,2703233.333,34215372.52,15052092.79,51970698.65
Harbor City,2673764,50797383,41877000,95348147,496,26040,2.58,102.6791091,1950.744355,1608.179724,3661.603187,1036342.636,19688908.14,16231395.35,36956646.12
Harbor Gateway,10452270,68488934,2278011,81219215,598,42005,5.14,248.8339483,1630.494798,54.23190096,1933.560648,2033515.564,13324695.33,443192.8016,15801403.7
Harvard Heights,18492833,48814273,6420000,73727106,233,20194,0.79,915.7587897,2417.266168,317.9162127,3650.941171,23408649.37,61790218.99,8126582.278,93325450.63
Harvard Park,17075014,33155199,9184110,59414323,316,10888,0.64,1568.24155,3045.113795,843.5075312,5456.862877,26679709.38,51804998.44,14350171.88,92834879.69
Highland Park,3100000,14391642,6787000,24278642,30,60841,3.42,50.9524827,236.5451258,111.5530645,399.0506731,906432.7485,4208082.456,1984502.924,7099018.129
Historic South-Central,53617376,162792469,22490225,238900070,1328,52509,2.55,1021.108305,3100.277457,428.3118132,4549.697576,21026421.96,63840183.92,8819696.078,93686301.96
Hollywood,22925846,172048487,84378936,279353269,1452,85489,3.51,268.1730515,2012.521927,987.0151248,3267.710103,6531580.057,49016662.96,24039582.91,79587825.93
Hyde Park,5281147,8428737,0,13709884,110,38850,2.88,135.9368597,216.9559073,0,352.8927671,1833731.597,2926644.792,0,4760376.389
Jefferson Park,9885267,26003885,0,35889152,274,24285,1.42,407.052378,1070.779699,0,1477.832077,6961455.634,18312595.07,0,25274050.7
Koreatown,43164758,201690804,25234342,270089904,1840,124281,2.7,347.3158246,1622.861129,203.0426372,2173.219591,15986947.41,74700297.78,9346052.593,100033297.8
Lake View Terrace,3805976,15063116,0,18869092,144,12719,4.23,299.2354745,1184.300338,0,1483.535813,899757.9196,3561020.331,0,4460778.251
Lincoln Heights,18398107,121475146,10247566,150120819,848,29637,2.51,620.7816918,4098.766609,345.7693424,5065.317643,7329923.108,48396472.51,4082695.618,59809091.24
Los Feliz,4390000,25158278,8579256,38127534,104,36933,2.61,118.8638887,681.1869602,232.2924214,1032.34327,1681992.337,9639186.973,3287071.264,14608250.57
Mid-City,0,7438473,4641342,12079815,0,55016,3.47,0,135.2056311,84.36349426,219.5691253,0,2143652.161,1337562.536,3481214.697
Mid-Wilshire,0,7103994,10208936,17312930,0,47176,2.78,0,150.5849161,216.4010514,366.9859674,0,2555393.525,3672279.137,6227672.662
North Hills,28148241,101577401,250000,129975642,957,58500,5.31,481.1665128,1736.365829,4.273504274,2221.805846,5300987.006,19129454.05,47080.97928,24477522.03
North Hollywood,6281533.68,34991165,3211916,44484614.68,332,87241,5.87,72.00208251,401.0862439,36.81658853,509.9049149,1070107.952,5961016.184,547174.7871,7578298.923
Pacoima,5614285,66330847,9100000,81045132,573,81318,7.14,69.04111021,815.6969798,111.906343,996.644433,786314.4258,9290034.594,1274509.804,11350858.82
Panorama City,34877221,139833827,0,174711048,1258,69630,3.65,500.8935947,2008.241089,0,2509.134683,9555403.014,38310637.53,0,47866040.55
Pico-Union,18089821,115271772,41932704,175294297,556,44664,1.67,405.0201728,2580.865395,938.8479312,3924.733499,10832228.14,69025013.17,25109403.59,104966644.9
Rancho Park,2400000,8573015,0,10973015,108,4556,0.6,526.7778753,1881.697761,0,2408.475637,4000000,14288358.33,0,18288358.33
Reseda,5143467,83352486,13000000,101495953,662,66574,5.87,77.25939556,1252.027608,195.2714273,1524.558431,876229.4719,14199742.08,2214650.767,17290622.32
San Pedro,4875640,10632391,1162445,16670476,144,86012,12.06,56.68557876,123.6152049,13.51491652,193.8157001,404281.9237,881624.461,96388.4743,1382294.859
Sherman Oaks,0,7321491,9334100,16655591,61,65436,9.15,0,111.887814,142.6447216,254.5325356,0,800162.9508,1020120.219,1820283.169
Silver Lake,9951842,50525695,1850000,62327537,357,32890,2.75,302.5795683,1536.202341,56.24809973,1895.030009,3618851.636,18372980,672727.2727,22664558.91
South Park,14315894,67842406,25008278,107166578,481,32851,1.41,435.7825941,2065.154972,761.2638276,3262.201394,10153116.31,48115181.56,17736367.38,76004665.25
Sun Valley,4326358.32,27325430,0,31651788.32,239,81788,9.42,52.897226,334.1007238,0,386.9979498,459273.707,2900788.747,0,3360062.454
Sunland,0,9454441,5245559,14700000,0,16450,4,0,574.7380547,318.8789666,893.6170213,0,2363610.25,1311389.75,3675000
Sylmar,10300000,28718513,5442000,44460513,259,79614,12.46,129.3742307,360.7218956,68.35481197,558.4509383,826645.2648,2304856.581,436757.6244,3568259.47
Tujunga,1745082,12860088,0,14605170,121,28336,10.02,61.58533315,453.8427442,0,515.4280774,174159.8802,1283441.916,0,1457601.796
University Park,3827162,54123580,25515342,83466084,114,25181,1.17,151.9861006,2149.381677,1013.277551,3314.645328,3271078.632,46259470.09,21807984.62,71338533.33
Valley Glen,19265428,31899352,13299726,64464506,412,62846,4.81,306.5497884,507.5796709,211.6240652,1025.753524,4005286.486,6631881.913,2765015.8,13402184.2
Van Nuys,3228000,46918514,48608645,98755159,285,110747,8.99,29.14751641,423.6549432,438.9161332,891.7185928,359065.6285,5218967.075,5406968.298,10985001
Venice,750000,4590602,0,5340602,10,40885,3.17,18.34413599,112.2808365,0,130.6249725,236593.0599,1448139.432,0,1684732.492
Vermont Knolls,4650000,6013775,0,10663775,101,21568,1.14,215.597181,278.8285886,0,494.4257697,4078947.368,5275241.228,0,9354188.596
Vermont Square,15698398,94019663,6787000,116505061,633,47555,2.54,330.1103564,1977.072085,142.718957,2449.901398,6180471.654,37015615.35,2672047.244,45868134.25
