APN,Longitude,Latitude,Name,Address,Community,ConstructionType,HousingType,HCIDLA_Funded,Leverage,TECB,TDC,Photo
5054006007,-118.3000715,34.0299572,Windward Apts (A/B) (Site 8),2730 S Normandie Ave Ca 90007,ADAMS-NORMANDIE,Rehab,Family,0,7438473,4641342,12079815,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5053012035,-118.3068943,34.03174904,Two World Apartments (Site 5),2625 S Harvard Blvd Ca 90018,ADAMS-NORMANDIE,Rehab,Seniors,3225000,17094146,0,20319146,http://hcidapp.lacity.org/mpphotos/070172/Photo/Website%20Site5/Two%20Worlds%202625%20S.%20Harvard%20-%20070172.png
5049014013,-118.3525139,34.03214247,Lexington Apartments A/B (Site 8),2607 S Mansfield Ave Ca 90016,ALSACE,Rehab,Family,0,6771719,10247566,17019285,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5405021065,-118.2510489,34.07199525,Figueroa Place,1320 W Sunset Blvd 1-33 Ca 90026,ANGELINO HEIGHTS,New Construction,Large Family / Waiver Required,1647000,8292373,0,9939373,http://hcidapp.lacity.org/mpphotos/030166/Photo/Website/CD%201%20-%20Figueroa%20Place%20-%20030166.jpg
5442002908,-118.2339664,34.0974886,Rio Vista Apartments,"1515 N San Fernando Road Northeast Roadway 1-87  Los Angeles, Ca 90031",ATWATER VILLAGE,New Construction,Family,6022354,23669584,0,29691938,http://hcidapp.lacity.org/mpphotos/12-118780/Photo/Website/DSCF7272.png
5442002908,-118.2339664,34.0974886,Taylor Yard Master Association,1311 N San Fernando Road A-C Ca 90031,ATWATER VILLAGE,New Construction,N/A,9260275,0,0,9260275,http://hcidapp.lacity.org/mpphotos/13-119113/Photo/Website/Taylor%20yard%20Master%20DSCF6802.png
5183005052,-118.2094554,34.04485789,Las Margaritas,"137 N Soto St 1-20  Los Angeles, Ca 90033",BOYLE HEIGHTS,Both Rehab And New Construction,Family,559761,14135658,0,14695419,http://hcidapp.lacity.org/mpphotos/09-117211/Photo/Website/Las_Margaritas_137_Soto.png
5183005010,-118.2096693,34.04422001,Las Margaritas (Site 2),115 N Soto St Ca 90033,BOYLE HEIGHTS,Both Rehab And New Construction,Family,559761,14135658,0,14695419,http://hcidapp.lacity.org/mpphotos/09-117211/Photo/Website%20Site2/Las%20Margaritas%20115%20Soto.JPG
5183001048,-118.2137959,34.04788695,Las Margaritas (Site 3),319 N Cummings St Ca 90033,BOYLE HEIGHTS,Both Rehab And New Construction,Family,559761,14135658,0,14695419,http://hcidapp.lacity.org/mpphotos/09-117211/Photo/Website%20Site3/Las%20Margaritas%20319%20Cummings.JPG
5183023003,-118.2169235,34.03875823,Linda Vista Nurses Building,630 S St Louis St Ca 90023,BOYLE HEIGHTS,Acquisition + Rehab,Seniors,4214325,3959132,759870,8933327,http://hcidapp.lacity.org/mpphotos/10-118599/Photo/Website/10-118599.JPG
5188005031,-118.1967781,34.02611829,The Whittier,"3555 E Whittier Blvd 1-60  Los Angeles, Ca 90023",BOYLE HEIGHTS,New Construction,Family,4907400,19070042,0,23977442,http://hcidapp.lacity.org/mpphotos/11-117205/Photo/Website/thewhittier4814_009.png
5191012020,-118.1993104,34.02223101,Beswick Senior Apartments,"3553 E Beswick St  Los Angeles, Ca 90023",BOYLE HEIGHTS,New Construction,Seniors,2374632,9212897,0,11587529,http://hcidapp.lacity.org/mpphotos/12-118877/Photo/Website/beswick%20sr%20png.png
5183023003,-118.2169235,34.03875823,Linda Vista Apartments (Phase Ii),"610 S St Louis St  Los Angeles, Ca 90023",BOYLE HEIGHTS,Rehab,Seniors,13635675,20513952,0,34149627,http://hcidapp.lacity.org/mpphotos/13-119072/Photo/Website/150_1603.png
2111005034,-118.5982863,34.20814091,Tierra Del Sol,7500 N Alabama Ave 1-119 Ca 91303,CANOGA PARK,New Construction,Large Family / Waiver Required,8125000,15158179,2103714,25386893,http://hcidapp.lacity.org/mpphotos/000124/Photo/Website/CD%203%20-%20Tierra%20Del%20Sol%20-%20000124.jpg
2138005006,-118.6017886,34.1967635,Hart Village,6941 N Owensmouth Ave Ca 91303,CANOGA PARK,New Construction,Large Family / Waiver Required,2538000,16109027,0,18647027,http://hcidapp.lacity.org/mpphotos/050030/Photo/Website/CD%203%20-%20Hart%20Village.jpg
2137020037,-118.5851998,34.20086116,Winnetka Senior Apartments,20750 W Sherman Way Ca 91306,CANOGA PARK,New Construction,Seniors,12900000,8461013,5500000,26861013,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5119001028,-118.2518918,34.02272547,Central Village Apts.,1315 E 21St St 201-221 Ca 90011,CENTRAL-ALAMEDA,New Construction,Family,2762655,21148534,2570000,26481189,http://hcidapp.lacity.org/mpphotos/040072/Photo/Website/CD%209%20-%20Central%20Village.JPG
5119005012,-118.2531383,34.02055742,Lexington Apartments A/B (Site 14),1317 E 23Rd St Ca 90011,CENTRAL-ALAMEDA,Rehab,Family,0,6771719,10247566,17019285,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
